#,apiName,displayName,backingDatasetRID,properties,status
1,AdvertisementEmailSubjectLine,[Advertisement] Email Subject Line,ri.foundry.main.dataset.de25126d-1d51-4fbd-8548-1ea0a3574af5,8,experimental
2,AdvertisementHook,[Advertisement] Hook,ri.foundry.main.dataset.e4293042-7fe5-4909-bfd2-e5b085b9d298,8,experimental
3,AdvertisementLandingPageHeadline,[Advertisement] Landing Page Headline,ri.foundry.main.dataset.5cdd78b2-66a7-430d-b861-0fc4ad650dce,8,experimental
4,AnalysedUserPicture,Analysed User Picture (as api response),ri.foundry.main.dataset.367a9db4-42cc-4c1a-bd6e-eeaec1c38534,21,experimental
5,AppDiscrepancy,App Discrepancy,ri.foundry.main.dataset.b405b96a-54eb-4af7-933f-e95e24d48857,6,experimental
6,AppEvent,App Event,ri.foundry.main.dataset.b5ae348a-db1a-453a-84a0-549609328e15,9,experimental
7,AppLecture,App Lecture,ri.foundry.main.dataset.f9d0b98a-ab29-45fe-a0e5-cd905cc16170,3,experimental
8,AppModule,App Module,ri.foundry.main.dataset.fec44b2b-c208-47c4-82e6-72277eded5a1,4,active
9,AppModuleAppLectureLink,App Module App Lecture Link,ri.foundry.main.dataset.66181c80-9b0b-416c-b35c-167a0d85f14e,4,experimental
10,AppSession,App Session,ri.foundry.main.dataset.cb19fc77-4f56-443f-bce1-42169447f7ad,20,active
11,AppSessionCategory,App Session Category,ri.foundry.main.dataset.12fe3c93-9123-4fc4-8690-816ad078ab98,6,experimental
12,AppUser,App User,ri.foundry.main.dataset.b10cc736-0d0d-4c13-b4cc-50fc33ed7d58,28,active
13,AppointmentFunnelbox,Appointment [Funnelbox],ri.foundry.main.dataset.b09a950e-f0de-45af-8249-5129bfefc20a,23,experimental
14,ArminsTasks,Tasks [AST],ri.foundry.main.dataset.73ad1853-4b93-4d2e-b8ec-20abc5e496a6,11,experimental
15,ArminsTasksContacts,Task-Contacts [AST],ri.foundry.main.dataset.87963f41-34ff-40ed-b337-a9297d2fc839,2,experimental
