rid,display_name,description,documentation,path,type,created_by,updated_by,created_time,updated_time,trash_status,parent_folder_rid,project_rid,space_rid,_hash_called,_hash_value
"ri.foundry.main.dataset.0727702a-22e6-4984-8856-c88bf3a59f16","`wp_user_module_progress`",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/raw/`wp_user_module_progress`","FOUNDRY_DATASET","d868fed0-232e-43bb-899d-5c362619725f","1b1d31cf-6189-4663-820f-aa7d7311ce82","2025-10-24 12:10:26.865606+00:00","2026-02-22 13:31:06.207592+00:00","NOT_TRASHED","ri.compass.main.folder.9fd9e3d6-2942-485b-b32d-0c69260ccd11","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","4384766930425825284"
"ri.compass.main.folder.56eca273-1fb8-49e2-b0b7-137ed33167af","output",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/output","COMPASS_FOLDER","c5740081-5217-4f31-8dc8-f8270c900d65","d868fed0-232e-43bb-899d-5c362619725f","2025-10-31 09:08:40.780970+00:00","2025-11-12 13:16:47.100267+00:00","NOT_TRASHED","ri.compass.main.folder.1c4269d7-1bb7-4f87-9bf4-83026a364cc2","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","3240819804228203014"
"ri.foundry.main.dataset.ceb80729-e9be-4514-95c9-31742309fd88","`wp_email_log`",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/raw/`wp_email_log`","FOUNDRY_DATASET","d868fed0-232e-43bb-899d-5c362619725f","1b1d31cf-6189-4663-820f-aa7d7311ce82","2025-11-12 10:38:02.735248+00:00","2025-11-12 10:38:32.688485+00:00","NOT_TRASHED","ri.compass.main.folder.9fd9e3d6-2942-485b-b32d-0c69260ccd11","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","-1641764694294671347"
"ri.foundry.main.dataset.ef2c6922-94ab-4574-bcf8-f5e821323322","form_submission_answers",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/transform/form_submission_answers","FOUNDRY_DATASET","b662f172-7b32-43a0-a0c8-4b0b991ffc13","1b1d31cf-6189-4663-820f-aa7d7311ce82","2025-11-25 11:01:14.001745+00:00","2026-02-22 13:34:13.585033+00:00","NOT_TRASHED","ri.compass.main.folder.bf58572f-ae3d-4473-ae55-5ebe2b406c74","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","1957267356765427218"
"ri.foundry.main.dataset.3633062f-6b8a-4250-8724-534e30abdda5","`wp_fluentform_order_items`",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/raw/`wp_fluentform_order_items`","FOUNDRY_DATASET","c5740081-5217-4f31-8dc8-f8270c900d65","1b1d31cf-6189-4663-820f-aa7d7311ce82","2025-10-28 12:37:01.959122+00:00","2025-10-28 12:37:44.937434+00:00","NOT_TRASHED","ri.compass.main.folder.9fd9e3d6-2942-485b-b32d-0c69260ccd11","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","8565555935199331353"
"ri.compass.main.folder.1c4269d7-1bb7-4f87-9bf4-83026a364cc2","datasets",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets","COMPASS_FOLDER","b662f172-7b32-43a0-a0c8-4b0b991ffc13","b662f172-7b32-43a0-a0c8-4b0b991ffc13","2025-10-20 08:04:26.566406+00:00","2025-10-20 08:04:26.566406+00:00","NOT_TRASHED","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","-238877797511713764"
"ri.foundry.main.dataset.3c0e3fc1-7c47-4c22-b264-9c35538c8983","`wp_user_sessions`",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/raw/`wp_user_sessions`","FOUNDRY_DATASET","d868fed0-232e-43bb-899d-5c362619725f","1b1d31cf-6189-4663-820f-aa7d7311ce82","2025-10-27 14:35:01.272744+00:00","2026-02-22 13:31:27.727769+00:00","NOT_TRASHED","ri.compass.main.folder.9fd9e3d6-2942-485b-b32d-0c69260ccd11","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","-2809844336156199907"
"ri.foundry.main.dataset.376f3376-fe7a-472e-b9dc-7959040c9bba","user_subscription_module_link",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/output/user_subscription_module_link","FOUNDRY_DATASET","b662f172-7b32-43a0-a0c8-4b0b991ffc13","1b1d31cf-6189-4663-820f-aa7d7311ce82","2026-01-09 11:55:53.208709+00:00","2026-02-22 13:34:42.572083+00:00","NOT_TRASHED","ri.compass.main.folder.56eca273-1fb8-49e2-b0b7-137ed33167af","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","-2968436339126211041"
"ri.foundry.main.dataset.885488de-83ad-46c8-96d5-1645ffff6881","pivot_filled",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/Analysis/pivot_filled","FOUNDRY_DATASET","b662f172-7b32-43a0-a0c8-4b0b991ffc13","1b1d31cf-6189-4663-820f-aa7d7311ce82","2025-11-03 14:02:08.431366+00:00","2025-11-04 15:37:33.632426+00:00","NOT_TRASHED","ri.compass.main.folder.c2bc7109-152f-478b-8ba4-ecc173dd79a9","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","6839362642688304161"
"ri.foundry.main.dataset.106839ff-b3e0-454d-95a7-c5caa608a69f","users",,,"/The Original Body AG-e15bac/[Datasource] App (Wordpress)/datasets/output/users","FOUNDRY_DATASET","d868fed0-232e-43bb-899d-5c362619725f","1b1d31cf-6189-4663-820f-aa7d7311ce82","2025-10-24 12:51:20.276627+00:00","2026-02-22 13:31:51.962631+00:00","NOT_TRASHED","ri.compass.main.folder.56eca273-1fb8-49e2-b0b7-137ed33167af","ri.compass.main.folder.56b50725-84c7-498a-aa09-43fdaad51e15","ri.compass.main.folder.18b9106c-163a-401c-86b8-ec7f2e7d7717","True","931084538165749796"
